type	block	randomize	stim1	key	ITI	presTime	stimFormat	content	trialText	trialAudio	keyboard	keypress	RT	ACC	t	age	literate	number
instructions	1				500			Memorize the bike in the next three images.<br><br>A test will follow.<br><br>Press ENTER to begin.		CBMT_practice_intro.wav					16.233645915985107	1	yes	1
learn	1		bart_left		500	3000	.jpg		Practice						19.733494997024536	1	yes	1
learn	1		bart_straight		500	3000	.jpg		Practice						23.236397981643677	1	yes	1
learn	1		bart_right		500	3000	.jpg		Practice						26.736748933792114	1	yes	1
test	1		1	2	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	2	2.758974075317383	1	30.019216775894165	1	yes	1
test	1		2	1	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	3	0.01829385757446289	0	30.55328679084778	1	yes	1
test	1		3	3	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	2	0.029146194458007812	0	31.103423833847046	1	yes	1
instructions	1				500			Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav					36.75484299659729	1	yes	1
learn	1		Bob_left_study		500	3000	.jpg		Memorize						40.25601077079773	1	yes	1
learn	1		Bob_frontal_study		500	3000	.jpg		Memorize						43.75328278541565	1	yes	1
learn	1		Bob_right_study		500	3000	.jpg		Memorize						47.25469493865967	1	yes	1
test	1		4	3	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	3	0.449221134185791	1	48.221988916397095	1	yes	1
test	1		5	2	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	2	0.24841713905334473	1	48.98906588554382	1	yes	1
test	1		6	3	500		.jpg		Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3	1	0.1868131160736084	0	49.688344955444336	1	yes	1
instructions	1				500			Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav					55.341070890426636	1	yes	1
learn	1		Dan_Left_Study		500	3000	.jpg		Memorize						58.83941292762756	1	yes	1
learn	1		Dan_frontal_study		500	3000	.jpg		Memorize						62.34057879447937	1	yes	1
learn	1		Dan_Right_Frontal		500	3000	.jpg		Memorize						65.84115099906921	1	yes	1
