item	type	picture	key	title	trialaudio	keyboard	keypress	RT	ACC	t	skipped
	message			||	ravens.wav	return	return	40.24413585662842		1.9073486328125e-06	
1	practice	A11.jpg	4			1,2,3,4,5,6	2	2.5177419185638428	0	2.9154109954833984	
2	practice	B12.jpg	5			1,2,3,4,5,6	3	0.03288984298706055	0	3.240830898284912	
3	practice	C4.jpg	8			1,2,3,4,5,6	1	0.5295801162719727	0	4.008913040161133	
4	practice	C12.jpg	2			1,2,3,4,5,6	2	0.0743718147277832	1	4.336621046066284	
5	practice	D7.jpg	5			1,2,3,4,5,6	1	0.6149358749389648	0	5.177618026733398	
6	practice	D12.jpg	6			1,2,3,4,5,6	2	0.29309511184692383	0	5.7126829624176025	
7	practice	E1.jpg	7			1,2,3,4,5,6	1	0.44548797607421875	0	6.448474884033203	
8	practice	E5.jpg	1			1,2,3,4,5,6	2	0.26905393600463867	0	7.017626047134399	
9	practice	E7.jpg	1			1,2,3,4,5,6	3	0.4325709342956543	0	7.744452953338623	
