item	type	picture	key	title	keyboard	keypress	RT	ACC	t
	message			Practice phase	return	return	0.46701502799987793		0.5471229553222656
1	practice	APM_I_01.gif			1,2,3,4,5,6,7,8	2	0.5615649223327637	0	1.1425998210906982
2	practice	APM_I_02.gif			1,2,3,4,5,6,7,8	3	0.20002388954162598	0	1.364609956741333
3	practice	APM_I_03.gif			1,2,3,4,5,6,7,8	5	0.20056581497192383	0	1.5806009769439697
4	practice	APM_I_04.gif			1,2,3,4,5,6,7,8	4	0.2177889347076416	0	1.8207669258117676
5	practice	APM_I_05.gif			1,2,3,4,5,6,7,8	4	0.21516704559326172	0	2.045219898223877
6	practice	APM_I_06.gif			1,2,3,4,5,6,7,8	4	0.4052410125732422	0	2.4688589572906494
7	practice	APM_I_07.gif			1,2,3,4,5,6,7,8	6	0.4048440456390381	0	2.88516902923584
8	practice	APM_I_08.gif			1,2,3,4,5,6,7,8	5	0.003133058547973633	0	2.900773048400879
9	practice	APM_I_09.gif			1,2,3,4,5,6,7,8	2	0.5541460514068604	0	3.4688539505004883
10	practice	APM_I_10.gif			1,2,3,4,5,6,7,8	4	0.26044392585754395	0	3.7407779693603516
11	practice	APM_I_11.gif			1,2,3,4,5,6,7,8	5	0.24075603485107422	0	4.004473924636841
12	practice	APM_I_12.gif			1,2,3,4,5,6,7,8	2	0.3829519748687744	0	4.396997928619385
	message			Test phase	return	return	2.0931501388549805		6.524164915084839
13	test	APM_II_01.gif	5		1,2,3,4,5,6,7,8	5	61.031534910202026	1	67.58013987541199
14	test	APM_II_02.gif	1		1,2,3,4,5,6,7,8	1	25.20411205291748	1	92.81039500236511
15	test	APM_II_03.gif	7		1,2,3,4,5,6,7,8	7	24.48084807395935	1	117.30620694160461
16	test	APM_II_04.gif	4		1,2,3,4,5,6,7,8	4	20.622269868850708	1	137.95332288742065
